epoch;acc;loss;val_acc;val_loss
0;0.543257989088;0.715554897477;0.489096573209;0.691341389748
1;0.547155105269;0.665500545005;0.607476635514;0.644638038313
2;0.634450506648;0.622200332344;0.744548286604;0.614771538527
3;0.591582229174;0.672168699913;0.710280373832;0.647764021084
4;0.6788776306;0.593227443896;0.725856697819;0.596652730974
5;0.675759937693;0.611569522789;0.750778816199;0.605516079245
6;0.671083398285;0.573976618465;0.728971962617;0.532713692136
7;0.727981293843;0.509804877643;0.788161993769;0.496390968283
8;0.746687451333;0.48384003275;0.803738317757;0.518765504208
9;0.763834762299;0.474400510801;0.80062305296;0.427317113056
10;0.803585346843;0.419349741815;0.666666666667;0.622224798861
11;0.808261886204;0.423493677467;0.81308411215;0.402690639331
12;0.830865159828;0.370488881577;0.803738317757;0.365832246585
13;0.84021823855;0.35194469072;0.828660436137;0.351931344961
14;0.845674201091;0.337573410759;0.856697819315;0.324164623273
15;0.852689010179;0.338726461212;0.750778816199;0.77164532426
16;0.812159002338;0.436713229196;0.83800623053;0.357738265628
17;0.869836321122;0.308004914855;0.866043613707;0.325106646619
18;0.864380358558;0.294852719536;0.866043613707;0.307525390589
19;0.869836321122;0.311849517926;0.86292834891;0.300092550436
20;0.85970381922;0.299494206627;0.85046728972;0.347517377318
21;0.869056897896;0.277156602353;0.878504672897;0.290178876811
22;0.878409976617;0.264382163204;0.86292834891;0.29481298923
23;0.872174590803;0.273291418377;0.872274143302;0.30540808252
24;0.888542478566;0.248140341041;0.872274143302;0.277281664074
25;0.891660171473;0.257941836652;0.828660436137;0.345231640751
26;0.889321901793;0.249262727695;0.834890965732;0.312959893907
27;0.89633671088;0.222275400013;0.872274143302;0.287738266488
28;0.905689789556;0.231068135074;0.881619937695;0.30597229618
29;0.898674980514;0.223986719649;0.8753894081;0.289892071005
30;0.890880748246;0.232087114607;0.8753894081;0.29070480479
31;0.908028059283;0.199047852938;0.8753894081;0.315054003548
32;0.900233827015;0.22778023302;0.890965732087;0.294194989796
33;0.914263445051;0.200512880367;0.884735202492;0.289822583694
34;0.911145752143;0.188868385604;0.890965732087;0.279174894098
35;0.919719407638;0.18313843203;0.8753894081;0.290996680996
36;0.936087295448;0.148152653932;0.884735202492;0.318634093678
37;0.932190179267;0.160309708881;0.88785046729;0.288054923673
38;0.923616523772;0.167038495315;0.890965732087;0.290672649422
39;0.94388152767;0.144476535634;0.878504672897;0.320144578846
0;0.530007794232;0.685573828796;0.604361370717;0.647043195631
1;0.590802805947;0.651671577178;0.489096573209;0.685136936907
2;0.57287607173;0.643913634429;0.489096573209;0.676984437158
3;0.537022603297;0.683645243907;0.489096573209;0.687367006254
4;0.568199532393;0.682387131782;0.489096573209;0.690771695981
5;0.634450506672;0.634849867501;0.728971962617;0.579734092004
6;0.6788776306;0.585087214981;0.657320872274;0.602431797396
7;0.680436477053;0.580720802814;0.722741433022;0.539767934108
8;0.699142634451;0.547468666722;0.744548286604;0.494084474779
9;0.651597817615;0.659671276157;0.638629283489;0.59854030326
10;0.643024162143;0.608031746102;0.660436137072;0.587510148638
11;0.683554169961;0.577134065858;0.732087227414;0.534043010986
12;0.706936866719;0.549289191828;0.757009345794;0.523704608096
13;0.727981293866;0.526008223149;0.778816199377;0.505754798883
14;0.759158222962;0.491194053451;0.691588785047;0.622083685806
15;0.761496492619;0.484969380445;0.80062305296;0.478373837242
16;0.772408417771;0.45360114534;0.791277258567;0.477117992725
17;0.777864380359;0.447421859494;0.794392523364;0.48970974904
18;0.795791114575;0.438564282822;0.816199376947;0.432888253247
19;0.797349961052;0.396132987083;0.803738317757;0.414260104114
20;0.798129384256;0.43254977014;0.80062305296;0.426968154798
21;0.801247077163;0.388283590158;0.760124610592;0.537047004279
22;0.809041309477;0.397198803891;0.819314641745;0.371481834299
23;0.812159002338;0.370386702143;0.82554517134;0.374743898026
24;0.828526890101;0.361408635794;0.831775700935;0.391908802015
25;0.8394388153;0.345249809377;0.844236760125;0.359357036274
26;0.832424006235;0.343769728986;0.83800623053;0.36471579182
27;0.823850350787;0.352331458547;0.85046728972;0.34129525268
28;0.84099766173;0.327887367617;0.83800623053;0.332382546754
29;0.842556508184;0.328686112458;0.83800623053;0.33009081341
30;0.835541699143;0.327306774945;0.831775700935;0.323073493964
31;0.831644583009;0.328925660589;0.841121495327;0.334108951633
32;0.848791894045;0.304619299093;0.844236760125;0.334739670826
33;0.853468433406;0.292598647362;0.85046728972;0.303905409247
34;0.869836321122;0.286634094734;0.844236760125;0.341729633513
35;0.855027279813;0.29264573472;0.85046728972;0.32146951355
36;0.855027279813;0.287285747211;0.881619937695;0.298383556769
37;0.854247856586;0.295407006565;0.859813084112;0.3215662528
38;0.844115354638;0.304234332346;0.86292834891;0.312506777889
39;0.874512860483;0.27856435596;0.866043613707;0.301819809463
